0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30
115,Foundations,Sierra Club - Allegheny Group,,,,,,,,,,,,,,,,,,,,,,,,
116,Foundations,Snee Reinhardt,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
117,Foundations,Spectroscopy Society of Pittsburgh,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
118,Foundations,Sprout Fund,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
119,Foundations,Starbucks Foundation,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
120,Foundations,Treevitalize,,,,,,,,,,,,,,,,"Supports Allegheny Commons, Mt Washington CDC, Nine Mile Run",,,,,,,,
121,Foundations,UBS Foundation,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
122,Foundations,UPMC,,,,,,,,,,,,,,,,Supports Mt Washington CDC,,,,,,,,
123,Foundations,URA - Mainstreets Program,,,,,,,,,,,,,,,,Supports Mt Washington CDC,,,,,,,,
124,Foundations,Veridian Energy,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
125,Foundations,Window Box Garden Club,,,,,,,,,,,,,,,,Supports Mt Washington CDC,,,,,,,,
126,Private Group,Developers,,1,1,1,2,,2,,,,,,1,??,1,,,,,,,,,
127,Private Group,Duquesne Light,,1,,1,??,,,,,,,,,,1,,,,,,,,,
128,Private Group,Labor Unions,,,,1,,,,,2,,,,,,1,,,,,,,,,
129,Private Group,Lamar (billboard advertising),,1,,1,2,,,,,,,??,,,1,,,,,,,,,
130,Private Group,Universities,,,,1,,2,,,,,,,,,1,,,,,,,,,
131,Public Groups,Community Organizations,,1,,,2,,,,,,,1,,,,,,,,,,,,
132,Public Groups,General Public,,1,1,1,2,,,,,,,,,,,,,,,,,,,
133,Public Groups,Greenway Stewards,,1,,,2,,,,,,,1,,,,,,,,,,,,
